word,EP,PC,NY
fun,0.277777777777778,0.09375,0.3125
larger,0.277777777777778,0.09375,0.0833333333333333
project,0.277777777777778,0.09375,0.0416666666666667
shared,0.277777777777778,0.09375,0.395833333333333
technology,0.277777777777778,0.09375,0
minds,0.240740740740741,0.0625,0.125
attack,0.333333333333333,0.15625,0.208333333333333
stick,0.333333333333333,0.15625,0.145833333333333
tells,0.333333333333333,0.15625,0.1875
information,0.425925925925926,0.25,0.270833333333333
large,0.518518518518518,0.34375,0.458333333333333
human,0.611111111111111,0.4375,0.479166666666667
official,0.203703703703704,0.03125,0.0833333333333333
uses,0.203703703703704,0.03125,0.104166666666667
contact,0.296296296296296,0.125,0.208333333333333
state,0.388888888888889,0.21875,0.5625
yeah,0.388888888888889,0.21875,0.354166666666667
fast,0.481481481481481,0.3125,0.458333333333333
picture,0.481481481481481,0.3125,0.479166666666667
sense,0.574074074074074,0.40625,0.666666666666667
cells,0.166666666666667,0,0.0208333333333333
communicate,0.166666666666667,0,0.0833333333333333
galaxy,0.166666666666667,0,0
programming,0.166666666666667,0,0.0208333333333333
wheels,0.166666666666667,0,0.125
lost,0.666666666666667,0.5,0.75
use,0.666666666666667,0.5,0.708333333333333
ended,0.259259259259259,0.09375,0.416666666666667
government,0.259259259259259,0.09375,0.145833333333333
losing,0.259259259259259,0.09375,0.166666666666667
present,0.259259259259259,0.09375,0.270833333333333
calls,0.351851851851852,0.1875,0.25
funny,0.351851851851852,0.1875,0.375
history,0.351851851851852,0.1875,0.3125
kids,0.351851851851852,0.1875,0.354166666666667
wave,0.351851851851852,0.1875,0.208333333333333
chair,0.537037037037037,0.375,0.375
looks,0.62962962962963,0.46875,0.479166666666667
actual,0.222222222222222,0.0625,0.229166666666667
care,0.722222222222222,0.5625,0.6875
code,0.222222222222222,0.0625,0.145833333333333
colors,0.222222222222222,0.0625,0.208333333333333
crazy,0.222222222222222,0.0625,0.354166666666667
messages,0.222222222222222,0.0625,0.0625
notes,0.222222222222222,0.0625,0.104166666666667
science,0.222222222222222,0.0625,0.0833333333333333
systems,0.222222222222222,0.0625,0.0625
area,0.314814814814815,0.15625,0.208333333333333
pictures,0.314814814814815,0.15625,0.291666666666667
spend,0.314814814814815,0.15625,0.270833333333333
food,0.407407407407407,0.25,0.541666666666667
wind,0.333333333333333,0.84375,0.395833333333333
bed,0.333333333333333,0.78125,0.729166666666667
sun,0.37037037037037,0.8125,0.625
pale,0.185185185185185,0.625,0.395833333333333
lay,0.222222222222222,0.65625,0.625
blood,0.444444444444444,0.875,0.375
father,0.277777777777778,0.6875,0.770833333333333
heavy,0.314814814814815,0.71875,0.395833333333333
mother,0.444444444444444,0.84375,0.916666666666667
quiet,0.351851851851852,0.75,0.5625
young,0.351851851851852,0.75,0.75
hollow,0.0555555555555556,0.4375,0.0625
colored,0.0925925925925926,0.46875,0.208333333333333
winter,0.12962962962963,0.5,0.5
bones,0.166666666666667,0.53125,0.25
returned,0.166666666666667,0.53125,0.520833333333333
poured,0.0740740740740741,0.4375,0.291666666666667
morning,0.481481481481481,0.84375,0.8125
spoke,0.203703703703704,0.5625,0.458333333333333
tree,0.203703703703704,0.5625,0.375
bare,0.185185185185185,0.53125,0.145833333333333
wooden,0.12962962962963,0.46875,0.354166666666667
wound,0.12962962962963,0.46875,0.1875
hung,0.259259259259259,0.59375,0.4375
feet,0.574074074074074,0.90625,0.666666666666667
hat,0.0740740740740741,0.40625,0.208333333333333
house,0.388888888888889,0.71875,0.895833333333333
fingers,0.518518518518518,0.84375,0.5
moonlight,0.0185185185185185,0.34375,0.0833333333333333
water,0.518518518518518,0.84375,0.770833333333333
heat,0.240740740740741,0.5625,0.291666666666667
palms,0.0925925925925926,0.40625,0.1875
thin,0.314814814814815,0.625,0.4375
throat,0.314814814814815,0.625,0.3125
arms,0.62962962962963,0.9375,0.604166666666667
gathered,0.12962962962963,0.4375,0.270833333333333
tight,0.351851851851852,0.65625,0.25
ghost,0.0740740740740741,0.375,0.125
neck,0.388888888888889,0.6875,0.541666666666667
thick,0.388888888888889,0.6875,0.4375
dry,0.296296296296296,0.59375,0.333333333333333
ears,0.296296296296296,0.59375,0.229166666666667
stomach,0.296296296296296,0.59375,0.270833333333333
screamed,0.111111111111111,0.40625,0.166666666666667
softly,0.111111111111111,0.40625,0.3125
arm,0.518518518518518,0.8125,0.520833333333333
witch,0.0185185185185185,0.3125,0.0833333333333333
died,0.425925925925926,0.71875,0.604166666666667
leaving,0.425925925925926,0.71875,0.479166666666667
